AthleteID,Name,Gender,DateOfBirth,CountryID,SportID
69,Richard Campbell,M,2005-09-10,176,27
70,Jon Brown,F,1997-08-08,62,37
71,Michael Holt,M,1985-11-22,17,45
72,Breanna Castro,F,1984-06-17,101,21
73,Edward Hall,M,2000-08-19,191,19
74,Joshua Warren,F,1983-10-16,141,38
75,Bryan Brady,M,1987-06-21,42,34
76,Amanda Hanson,M,1985-07-31,37,10
77,Robert Campbell,F,2006-05-16,21,2
78,Mr. Austin Burns,F,2007-02-11,172,26
79,Jacob Walker,F,1987-04-27,124,19
80,Karen Cunningham,F,1990-01-28,36,4
81,Nicole Reed,M,1997-10-09,196,30
82,Sandra Harmon,M,1986-12-28,140,1
83,Matthew Huerta,F,1986-05-28,177,2
84,Jacob Fischer,M,2004-03-15,96,19
85,Jose Cooper,F,1997-02-03,124,20
86,Chase Stewart,M,1992-02-02,11,10
87,Kaitlyn Barrera,M,2004-08-25,166,6
88,Thomas Burke,M,1988-08-06,73,50
89,Zachary Jordan,F,1986-10-31,155,8
90,Ronald Mason,F,1994-07-24,152,6
91,Sharon Sullivan,M,1986-11-28,16,15
92,Carl Fuller,M,1993-02-11,97,31
93,Erica Sweeney,F,1985-12-30,70,28
94,Edwin Barrera,F,2001-03-17,7,39
95,Jennifer King,M,1999-10-02,101,18
96,Charles Adams,M,1990-02-15,74,33
97,Tara Williams,F,1985-02-12,178,47
98,Brett Bauer,M,2007-10-22,156,16
99,Drew Ayala,M,2009-06-20,167,1
100,Robert Bennett,M,1993-09-13,52,1
101,Amber Smith MD,M,1987-03-09,71,45
102,Monica White,F,1986-01-16,178,27
103,Jonathan Turner,F,2001-11-14,56,10
104,Christopher Ward,F,1992-11-03,57,34
105,Alicia Alexander,M,1989-02-27,25,26
106,Gregory Kelley,M,2000-10-25,60,3
107,Joanne Smith,F,1984-04-04,59,13
108,Theresa Smith,F,1998-10-18,63,20
109,Kevin Jackson,M,1991-10-29,8,30
110,Joel Stanley,F,1995-10-23,15,27
111,John Gonzalez,M,1984-03-16,118,19
112,Tonya Watkins,F,1989-10-30,109,8
113,Holly Ayers,F,1992-02-15,2,46
114,Jesse Beck,M,2006-08-12,134,9
115,Joy Barrett,M,2001-01-13,14,37
116,Jessica Martinez,M,1992-07-27,52,40
117,Sara Nunez,M,2006-03-28,112,16
118,Julia Fletcher,F,1996-08-19,146,3
119,Brandon Miller,F,2007-01-16,146,18
120,Jeremy Gaines,F,1986-04-20,104,20
121,Michael Krueger,M,2000-06-21,27,15
122,Kimberly Hunt,F,1990-05-12,33,13
123,John Walker,M,2002-10-07,30,49
124,George Parker,F,2006-10-20,22,22
125,Joel Flynn,M,2005-09-06,106,18
126,Raymond Pitts,F,1996-09-03,106,48
127,Warren Boyer,F,2008-04-14,155,38
128,Elizabeth Gardner,F,2006-10-30,5,1
129,Mitchell Valentine,M,1986-03-05,189,7
130,Samantha Ford,M,1994-09-16,58,7
131,Tina Jennings,F,2002-06-05,62,27
132,Rebecca Roberts,F,1990-08-13,148,47
133,Peter Jackson,F,1985-07-11,149,35
134,Benjamin Yates,M,1996-07-30,153,39
135,Francisco Gregory MD,F,1984-11-15,33,14
136,Karen Ward,F,1998-12-22,125,43
137,Desiree Hart,F,1992-01-20,93,29
138,Alexandria Thomas,M,1996-01-01,119,42
139,Megan Williams,F,1989-03-05,110,14
140,Mr. Troy Larson Jr.,M,2001-10-03,3,11
141,Kayla Richardson,M,2008-12-20,144,41
142,Jerry Dickson,M,1988-01-08,115,9
143,Alison Barker,M,1992-11-01,35,27
144,Phillip Bates,M,1990-08-13,191,37
145,Mary Booth,M,1995-08-30,32,34
146,Mr. Christopher Morales,F,2002-05-09,120,19
147,Jeff Gallegos,F,1986-08-05,138,8
148,Jesse Davis,M,1999-12-12,43,36
149,Christopher Young,M,2003-01-03,84,3
150,Leslie Ramirez,F,1996-12-11,123,24
151,Aaron Avila,M,1999-07-02,189,50
152,Steven Mcclain,M,1993-03-22,121,45
153,Tonya Hernandez,F,2001-04-29,147,47
154,Stephanie Simon,F,2005-04-30,94,46
155,Jody Wilson,F,2000-12-30,16,3
156,Suzanne Heath,M,1999-03-26,144,3
157,Kenneth Turner,M,2001-01-30,148,42
158,Rachel Martin,M,1993-10-06,22,46
159,James Gonzalez,M,2005-01-30,93,33
160,Mr. Marc Johnson IV,M,1993-10-23,17,49
161,Justin Pena,F,1986-05-09,151,11
162,Cynthia Gonzalez,M,1985-06-02,193,21
163,Jessica Stone,F,1995-10-23,61,36
164,Philip Robles,F,1995-04-05,44,29
165,Ann Stokes,M,1983-11-12,23,36
166,Danny Brown,F,1988-08-26,114,5
167,Melissa Roach,F,2003-07-13,30,25
168,Loretta Davila,F,1989-05-06,25,43
169,Paul Kim,F,2008-03-04,97,18
170,Micheal Sherman,M,2002-05-10,3,13
171,Randall Reid,F,2007-08-30,37,30
172,Teresa Jenkins,F,2003-10-30,86,35
173,Nicole Randolph,F,1993-09-14,121,7
174,Diane Edwards,F,1990-03-05,121,41
175,Charles Wood,M,2008-01-19,8,20
176,Pamela Houston,F,2008-03-08,114,35
177,John Salas,F,1985-11-19,5,46
178,Megan Nelson,F,2004-12-31,142,24
179,Elizabeth Mcintyre,F,2009-06-29,65,39
180,Daniel Page,M,1988-09-29,165,34
181,Brian Ramos,M,1994-07-21,73,24
182,Jessica Flynn,F,1986-10-19,91,12
183,Kevin Brown,F,1985-04-30,11,10
184,Shelby Curtis,M,1995-09-13,84,31
185,Stephanie Jimenez,F,1988-08-12,164,13
186,Jillian Simpson,M,2000-11-09,48,2
187,Evelyn Durham,F,1999-04-14,42,10
188,Patrick Phillips,F,1985-08-17,77,33
189,Steven Little,M,2002-07-20,89,40
190,Sharon Gonzales,F,1999-04-17,180,13
191,Julie Stuart,M,2000-05-13,158,27
192,Heidi Roach,F,2005-09-27,192,47
193,Denise Graham,M,1992-08-04,8,3
194,Jennifer Mayo,F,2008-11-29,103,31
195,Kathy Ward,M,1989-04-12,199,19
196,Tina Bell,M,1998-01-06,79,42
197,Katrina Sanchez,M,1998-11-04,74,34
198,Andrew Frazier MD,M,1986-06-16,82,45
199,Alexander Washington,M,1992-07-07,197,31
200,Danielle Ortiz,F,2009-03-24,44,25
201,William Davis,M,2007-02-19,5,4
202,Nicole Cole,F,1996-05-07,172,17
203,Jacob Welch,F,2000-02-13,182,26
204,Ronnie Warren,M,2002-12-02,71,49
205,Courtney Campbell,F,2003-05-21,111,48
206,Megan Shepard,F,1991-07-23,129,14
207,Alexander Williams,F,1994-11-28,181,24
208,Cheryl Stafford,M,2008-08-05,101,7
209,Sheri Miller,M,2006-01-23,195,35
210,Nicole Pugh,F,2000-01-30,109,18
211,Derrick Morrison,F,1992-10-11,173,39
212,Jeffrey Kent,F,1996-06-29,11,46
213,Joseph Kim,F,1996-01-23,17,41
214,Todd Moreno,F,2006-03-20,97,35
215,Courtney Brock,F,2009-02-06,107,43
216,Gregory Foster,F,1989-12-18,126,29
217,Andrew Gutierrez,M,1998-01-26,36,8
218,Aaron Lewis,F,1991-03-13,190,43
219,Scott Williams,F,2009-06-26,61,8
220,Eric Hampton,M,1988-05-17,16,26
221,Andrew Adams,M,2002-09-27,163,24
222,Lindsay Bailey,M,1984-04-15,87,27
223,Patrick Salas,M,1985-10-01,141,36
224,Ian Collins,M,2004-07-23,61,38
225,Alexander Ortiz,M,1988-05-05,144,21
226,Jessica Barrett,F,1989-01-05,75,32
227,Marie Carpenter,F,1997-06-28,120,6
228,Jason Bryant,F,1989-11-18,19,23
229,Mary Smith,M,2008-07-27,186,45
230,Keith Bailey,M,1985-10-22,155,16
231,Gordon Doyle,M,1992-09-17,113,44
232,Julia Rosales,M,2004-02-04,169,8
233,Monica Trevino,M,2004-03-17,100,14
234,Stacie Harris,F,1991-09-21,94,26
235,Thomas Hanna,F,1994-11-01,72,44
236,William Glover,F,2005-01-19,22,36
237,Kenneth Fisher,M,1993-04-19,104,21
238,Amy Gutierrez,M,2007-04-05,16,8
239,Devon Trevino,F,2002-06-06,38,19
240,Jonathan Miles,F,1990-09-23,142,3
241,Michelle Ford,M,1996-01-08,186,35
242,Carl Cooper,M,1986-05-31,164,16
243,James Perez,M,1984-06-26,75,39
244,Michael Cook,M,2005-05-15,121,16
245,Sarah Gomez,F,2004-09-14,109,28
246,Ryan Weiss,F,1992-11-15,32,19
247,Angela Gordon,F,1984-01-25,49,23
248,Keith Wilson,F,2004-04-18,39,33
249,Christopher Miller,M,1990-09-25,117,36
250,Carl Bryant,M,2000-08-19,127,38
251,Bradley Collins,M,2000-02-16,170,29
252,Deborah Chang,F,1993-03-05,198,42
253,Erika Morgan,F,1988-07-19,124,33
254,Jeffrey Cruz,F,1983-09-22,186,19
255,Brian Decker,M,1985-12-08,103,34
256,Jonathan King,F,2005-03-03,34,7
257,Kathryn Carson,M,1989-12-02,119,29
258,Savannah Walsh,M,1998-12-02,57,42
259,Jason Hubbard,F,2000-09-27,187,22
260,Alicia Davis,M,1985-12-10,136,8
261,Kristin Mendoza,F,1998-09-16,49,5
262,Daniel Terrell,F,1986-01-17,158,40
263,Anthony Mcdonald,M,2005-07-24,25,34
264,Anthony Weaver,F,1998-12-09,142,40
265,Lauren Russell,F,1993-12-09,116,1
266,Suzanne Kirby,M,2003-03-22,47,10
267,Jeremiah Clay,M,1986-01-19,4,47
268,Emily Martinez,M,2002-02-27,143,48
269,John Taylor,M,2007-05-07,10,13
270,Mary Wolfe,F,2008-01-09,46,50
271,Caroline Huff,M,2008-09-28,90,18
272,Clayton Castro,F,1995-05-15,199,24
273,Allison Jackson,F,2002-02-28,29,18
274,Ronald Walker,F,1999-03-01,91,29
275,William Boyer,M,2008-11-18,159,4
276,Corey Johnson,F,1986-04-12,135,21
277,Mario Hall,F,1986-09-04,124,5
278,Adam Sims,M,2007-12-10,30,43
279,Holly Schaefer,F,1997-09-26,169,1
280,Ms. Lisa Atkins,M,1993-04-09,95,35
281,Kathryn Young,F,2008-09-16,172,40
282,Shelly Parrish,M,1985-04-20,85,21
283,Tamara Tyler,M,2006-07-28,191,10
284,Deborah Fernandez MD,F,1987-05-04,154,29
285,David Parks,F,2008-04-26,112,22
286,Terry Ellis,F,2005-09-08,184,11
287,Jacqueline Hawkins,M,1995-11-21,160,8
288,Donna Velasquez,M,2006-02-05,113,33
289,Sean Weaver,M,1985-12-14,70,45
290,Lauren Perez,F,1993-06-12,74,36
291,Cheryl Koch,M,2003-06-26,4,9
292,Connor Phillips,F,2008-07-05,191,8
293,Deanna Valentine,M,1990-02-01,187,12
294,Julie Estes,F,1986-08-17,90,23
295,Reginald Holloway,M,2006-01-16,136,45
296,Diane Church,F,2002-12-17,90,15
297,Michelle Williams,M,2008-01-16,1,17
298,Seth Harris,F,1994-10-19,36,31
299,Matthew Anderson,F,1996-09-09,54,40
300,Logan Best,F,1987-02-10,129,38
301,Grace Torres,F,1985-03-03,60,3
302,Hannah Olson,F,2005-02-03,20,38
303,Kelly Chambers,F,1983-09-04,100,50
304,Tamara Brooks,F,1994-04-19,28,12
305,Dana Casey DDS,F,1984-01-10,183,23
306,Jerry Vaughn,M,1996-04-13,32,7
307,Sarah Wise,F,2006-07-20,38,30
308,Sarah Glenn,F,1995-05-15,33,7
309,Cindy Bush,M,1996-03-28,129,21
310,Stacy Jefferson,M,2002-08-29,65,41
311,Clinton Taylor,F,2000-11-04,161,41
312,Brett Price,F,1988-09-15,13,30
313,Aaron Aguirre,M,1984-08-28,24,42
314,Sean Terry,F,1984-05-15,67,5
315,Chad Maldonado,F,2008-08-17,146,21
316,Mr. Brian Mosley,F,1999-08-08,13,35
317,Mark Jacobs,F,1993-04-01,150,32
318,Donald Lewis,M,1998-01-09,172,44
319,Jacob Wilkinson,F,1997-10-19,147,17
320,Alexis Webb,F,1988-08-01,175,47
321,James Harris,F,1997-01-19,38,21
322,Sandra Santos,F,2008-09-13,43,49
323,Jeremy Garza,F,2006-10-18,196,38
324,Christopher Mcintosh,F,1984-01-28,117,14
325,Oscar Webster,F,1990-09-08,153,30
326,Cory Middleton,M,1998-02-10,138,44
327,Kimberly Poole,M,2007-05-26,3,47
328,Linda Russell,M,2007-12-09,139,13
329,Jodi Rojas,M,1989-01-23,83,10
330,Tyler Jenkins,F,1997-08-08,176,10
331,Carlos Williams,F,1993-05-27,4,31
332,Tonya Hartman,F,1996-07-02,84,33
333,Justin Ferrell,M,2001-08-18,25,26
334,Brandon Smith,F,1999-12-04,41,33
335,Virginia Garrett,F,2001-11-29,125,46
336,Amy Brown,F,2006-08-02,2,39
337,Robert Malone,F,1995-09-03,33,3
338,Dawn Sawyer,M,2006-05-21,80,29
339,Frank Morales,M,1990-06-07,124,6
340,Joshua Jimenez,F,2003-08-08,13,9
341,Sarah Spears,F,2004-01-23,181,35
342,Yolanda Parker,F,1988-12-21,125,8
343,Andrea Thomas,F,1985-07-20,88,37
344,Lindsay Arellano,M,1994-04-25,44,44
345,Jennifer Hawkins,F,1989-06-04,42,2
346,John Allen,F,1987-12-06,140,3
347,Cindy Marshall,M,1996-04-18,140,14
348,Tricia Gomez,M,2001-12-02,13,32
349,Derrick Cooley,M,1998-09-27,41,36
350,Kyle Allen,M,2001-07-31,96,46
351,Amanda Robinson,M,2004-09-29,186,13
352,Alison Newton,F,1990-02-09,10,27
353,Taylor Thompson,F,1992-06-14,49,47
354,Emily Roberts,F,2001-12-07,156,34
355,Jennifer Jones,F,1988-10-04,145,45
356,Glenn Jones,F,2001-01-02,20,40
357,Carla Gaines,F,2004-02-23,75,13
358,Jacob Dudley,F,2002-11-29,65,34
359,James Jones,F,1995-12-08,4,24
360,Mindy Blackburn,F,1988-04-12,134,43
361,Bill Phillips,M,1996-01-14,92,36
362,Jamie Reyes,M,1990-01-20,165,14
363,Theresa Trevino,M,2004-05-07,17,8
364,Christine Lawson,M,1992-10-13,68,33
365,Patrick Morales,F,1987-03-17,180,15
366,Nicholas Phillips,F,1987-06-08,97,36
367,Amy Freeman,F,1983-10-27,48,47
368,Phillip Davis,F,1988-10-28,131,15
369,William Reed,M,2007-04-23,38,19
370,Larry Watkins,M,1993-09-03,104,14
371,Jeffrey Taylor,M,1992-10-09,55,22
372,Brandy Young,F,1991-01-20,189,39
373,Daniel Taylor,M,1986-08-24,168,39
374,Steven Smith,F,2008-03-22,23,16
375,Jesus Cole,F,1990-09-04,16,7
376,Jacob Obrien,M,2000-08-20,190,20
377,Robert Clark,F,1999-09-16,192,16
378,Julia Murillo,F,2000-12-31,66,48
379,James Perkins,M,1990-03-24,108,25
380,Bryan Bradford,M,2000-04-05,186,28
381,Cindy Allen,M,2005-03-20,135,5
382,Cynthia Esparza,F,2000-11-18,33,16
383,Jane Mcclure,F,2008-02-05,179,42
384,Jessica Foster,M,1991-12-29,35,10
385,Julia Mccormick,M,1987-09-10,41,40
386,Jessica Lawson,M,1987-08-04,141,5
387,Tyler Turner,M,1994-04-05,167,6
388,Deanna Dixon,F,1985-11-11,186,10
389,Jaime Hurley,F,2008-05-12,127,13
390,Jennifer Phillips,F,1998-10-01,193,25
391,Luis Cooper,F,2008-11-01,153,14
392,Scott Dominguez PhD,M,2007-08-17,109,1
393,Andrea Williams,F,2008-12-14,175,13
394,Diane Bonilla,F,1992-09-26,127,4
395,Julie Kramer,M,2005-01-31,149,46
396,Gregory Peters,F,1986-12-01,51,35
397,Donna Chandler,F,2004-08-06,21,49
398,Johnny Aguirre,M,2008-03-02,10,45
399,Rebecca Hall,M,1995-01-22,92,20
400,Erin Berry,F,2009-06-04,197,22
401,James Garner,M,1996-03-20,148,26
402,Kevin Hahn,F,1984-04-25,120,40
403,Samantha Robertson,M,2005-11-21,5,50
404,Meredith Patrick,M,1988-08-11,99,35
405,Christopher Jackson,F,2003-08-27,112,36
406,Jennifer James,M,1987-10-20,114,20
407,George Hayes,M,1989-01-23,41,2
408,Taylor Bauer,F,1994-08-22,5,30
409,Timothy Hines,F,2004-11-18,91,49
410,Chad Sanchez,F,1993-06-25,92,13
411,Michelle Johnson,M,1990-04-08,121,43
412,Jennifer Luna,M,1999-11-11,179,11
413,Casey Hester,F,2002-01-19,6,1
414,Margaret Vang,F,1991-02-18,173,43
415,Sarah Bowen,M,1985-10-06,137,1
416,Randall Mathews,F,1987-07-12,139,21
417,Michael Wiley,M,2006-08-07,159,29
418,Cassie Willis,F,1986-01-31,112,14
419,Suzanne Henry,M,1984-12-07,154,40
420,Michael White,F,1987-10-10,162,2
421,Christine Ferguson,F,1996-06-20,159,33
422,Brandon Reeves,M,1989-02-17,138,12
423,Kelly Garcia,F,2003-09-15,93,26
424,Donald Turner,M,1986-05-20,91,4
425,Christopher Martinez,F,2006-10-16,118,40
426,Erica Kelly,F,1998-03-06,78,26
427,Mrs. Crystal Le,F,1992-02-14,134,44
428,Bryan Jackson,F,1985-06-08,150,15
429,Brian Fuller,F,2008-11-21,24,31
430,Mark Harris,M,1990-09-30,52,26
431,Jared Fuentes,F,1990-08-30,45,10
432,Anna Carr,F,2006-03-04,75,14
433,Brian Huang,M,2003-05-04,61,1
434,Stephanie Lee,F,2003-05-02,166,43
435,Matthew Alvarez,M,2005-07-06,15,36
436,Eric Edwards,F,1990-11-07,136,1
437,Leah Jones MD,M,2003-03-25,6,35
438,Anna Green,F,2003-11-16,46,34
439,Barry Frederick,M,2005-11-22,141,49
440,Spencer Hall,M,1991-11-14,48,15
441,Justin Smith,M,2003-08-01,179,46
442,Ryan Elliott,F,1999-11-14,135,25
443,Matthew Powers,F,2004-01-29,149,42
444,Mark Torres,M,1989-02-14,5,24
445,Maurice Rose,M,1994-03-31,128,1
446,Robert Rodgers,M,1995-02-22,37,20
447,Alicia Blankenship,F,2008-06-20,10,27
448,James Sutton,M,1990-11-06,105,30
449,Adam Rodriguez,M,1983-07-26,115,28
450,Jeffrey Marshall,M,1988-12-20,126,44
451,Brittany Gardner,F,2008-12-16,51,29
452,Brianna Mccullough,F,1993-04-25,153,41
453,Michael Davis,M,1995-08-17,86,31
454,Natasha Morris,F,1986-03-14,133,33
455,Kenneth Crane,F,1990-07-11,10,10
456,Kelli James,M,1989-07-22,60,6
457,Christopher Hubbard,M,1997-02-21,182,3
458,Kayla Chapman,M,1988-07-08,49,37
459,Jason Woods,F,1986-03-12,99,11
460,George Smith,F,1990-10-07,110,14
461,Jennifer Allison,F,1984-01-01,180,39
462,Jerry Allen,F,1995-12-16,70,29
463,Wendy Obrien,F,1987-01-07,64,16
464,Cindy Thomas,F,1997-02-12,117,9
465,Jack Stark,M,1986-11-21,175,8
466,Nancy Morse,F,1992-09-09,59,48
467,Gloria Cummings,F,1989-03-09,167,20
468,Derek Howard,M,2003-05-07,198,17
469,Mary Mathis,M,2000-02-15,51,50
470,James Johnson,M,1987-10-21,61,7
471,Julie Lawson,F,1990-06-15,95,17
472,Scott Lewis,M,1998-08-20,128,20
473,William Williams,M,2004-06-19,156,45
474,Erik Baker,M,1998-03-10,58,23
475,Edwin Campos,M,1986-06-23,101,41
476,Eric Giles,M,2005-10-20,78,34
477,Randy Ellis,M,1996-02-05,123,27
478,William Gonzalez,M,1999-01-20,193,21
479,Joseph Moore,M,2007-07-21,101,16
480,Jason Torres,F,2000-06-25,13,7
481,Bradley Snyder,M,2001-06-01,86,37
482,Pamela Turner,F,1992-09-14,169,48
483,Wesley Harris,F,2000-11-24,156,8
484,Mark Obrien,F,2006-05-06,91,13
485,Whitney Scott,F,1996-03-22,81,45
486,Kathy Clark,M,2001-02-05,196,10
487,Karen Ruiz,F,2004-09-30,112,2
488,Diana Anderson,M,2000-07-15,31,40
489,Joshua Phillips,M,2001-01-08,181,43
490,Patricia White,M,1993-03-30,126,3
491,Walter Johnson MD,M,2004-12-16,74,29
492,Kurt Haley,M,1999-08-01,6,43
493,Jennifer Moreno,M,1985-07-21,176,32
494,Theresa Baker,F,2007-10-02,172,31
495,Donald Rice,M,1998-05-13,131,26
496,Debra Powell,M,2005-05-11,51,11
497,Sierra Wilkinson,M,2007-10-29,41,45
498,Jaime Walker,M,2006-10-09,73,49
499,Jack Vasquez,F,2008-01-07,140,35
500,Bobby Cardenas,F,1984-09-18,110,13
501,Ashley Hernandez,F,1989-04-09,76,6
502,Darius Campbell,F,1993-03-23,172,17
503,Susan Johnson,F,2004-11-20,59,21
504,Kelsey Jones,M,1999-09-17,50,36
505,Madeline Miller,M,2007-03-26,149,31
506,Mr. John Tucker,M,1994-06-10,137,24
507,Mr. John Molina,F,2003-07-17,98,13
508,Kyle Armstrong,F,2008-10-27,60,37
509,Chloe Soto,M,2003-07-18,36,12
510,Virginia Bradshaw,F,1984-11-23,17,44
511,Robert Glover,M,2006-02-12,38,39
512,Victoria Snyder,M,2000-01-15,22,16
513,Tyler Rodriguez,F,2001-11-19,59,6
514,Kevin Woodard,F,1993-02-09,124,24
515,Pamela Sawyer,F,2002-01-07,121,34
516,Micheal Rogers,M,1989-08-06,150,10
517,Alexandria Ortega,M,1985-05-10,190,11
518,Michael Roach,M,1990-10-06,145,47
519,Richard Wolf,F,1987-08-24,136,33
520,Richard Bowen,F,1994-01-21,141,36
521,Richard Norris,F,2000-01-24,63,3
522,Rebecca Thompson,F,2007-04-11,195,5
523,Kristy Wilcox,M,1985-10-30,126,15
524,Patrick Powell,M,2002-09-18,84,35
525,Debra Crawford,F,1991-11-12,46,43
526,Susan Ayala,M,2008-08-02,54,9
527,Monique Simmons,M,2002-04-04,40,42
528,Daniel Thompson,F,1994-01-02,56,37
529,William Johnson,M,1993-05-29,183,37
530,Jamie Lewis,M,1983-09-18,106,28
531,Kelly James,M,1984-02-14,90,36
532,Alan Dorsey,M,1999-07-16,120,49
533,Casey Morales,M,1993-01-17,67,28
534,Brian Williams,F,1983-10-17,70,49
535,Victoria Clark,F,1997-01-08,153,28
536,Adrienne Bryant,F,1992-12-26,188,2
537,Kelly Meyer,M,1986-02-05,120,2
538,Denise Rodriguez,M,1990-01-16,35,7
539,Sara Castillo,F,2006-09-07,16,40
540,Stanley Simpson,F,2003-05-01,82,42
541,Brian Hudson,F,2002-03-18,149,43
542,Krystal Howard,F,1989-09-21,83,38
543,Terry Lawson,F,1999-10-13,28,34
544,Vincent Diaz,M,1995-07-01,26,24
545,Deborah Garrett,F,1986-09-13,63,31
546,Frank Bates,M,2004-12-03,110,10
547,Amber Bradley,M,1992-06-07,71,26
548,Kim Gates,F,2002-01-22,70,31
549,Joseph Stanley,F,1994-04-04,43,50
550,Katie Brown,F,2005-07-15,45,21
551,Tyler Smith,M,2004-10-16,84,12
552,Bruce Carter,M,1991-05-24,11,5
553,Jon Flores,M,2007-06-09,151,26
554,Patricia Cox,F,1994-02-10,167,32
555,Courtney Brooks,F,2001-11-02,82,21
556,Patrick Wise,M,1989-06-19,117,27
557,Colton Jacobs,F,2006-02-07,4,5
558,Richard Gonzales,F,1998-01-20,108,37
559,Lindsey Guzman,F,1986-07-27,9,27
560,Jeremiah Jenkins,M,1996-06-21,79,4
561,Lindsey Mitchell,M,1992-08-06,123,42
562,Tina Phillips,M,1983-08-19,116,42
563,Ashley Gilbert,F,1988-09-09,183,27
564,Anthony Villarreal,M,2006-12-05,52,12
565,Ashley Bridges,F,1998-08-19,181,49
566,Glen Brown,M,2007-07-24,154,21
567,Tracey Delgado,M,1998-12-03,127,50
568,David Martinez,M,1999-02-20,157,14
569,Danny Johnson,M,1987-07-09,39,43
570,Todd Potter,M,1999-07-06,59,20
571,Ashley Deleon,M,1984-11-23,88,20
572,Tyler Walker,M,1993-03-16,8,40
573,Michelle Palmer,F,1992-01-15,33,36
574,Lucas Sanford,F,2008-09-16,65,8
575,Brandi Wright,M,1996-10-26,17,4
576,Rachel Mejia,F,1993-11-11,1,26
577,Erica Smith,F,2001-01-04,24,1
578,Anne Thompson,M,2005-02-28,191,3
579,Douglas Blanchard,F,1984-05-13,84,35
580,Christina Taylor,M,1987-11-14,101,1
581,Rebecca Hill,M,1985-04-06,152,32
582,Sarah Foley,M,2003-01-14,19,25
583,Brian Durham,F,2003-08-17,138,31
584,Cynthia Moses,M,1995-05-30,82,22
585,Jennifer Ramirez,M,2003-02-18,29,24
586,Carol Coleman,F,2007-08-30,93,4
587,Emily Lowe,F,1984-05-05,187,35
588,Julie Edwards,F,1984-11-05,125,19
589,Monica Hodges,M,2005-03-08,48,4
590,Angela Thomas,M,1989-11-07,108,37
591,Amanda Higgins,M,1986-10-04,76,21
592,Michael Holloway,F,2004-10-01,176,13
593,Jonathan Keller,M,1988-06-03,43,4
594,Patrick Bradshaw,M,1989-02-01,150,28
595,Melinda Miller,F,1996-03-27,85,28
